통합 ID,원본 조,요구사항,역할,분류,비고,우선순위,진행상태,확인 필요
FR-P2-006,2조,적립 트리거별 중복 적립 방지(출석체크/좋아요),성집,적립(EARN) 중복방지,출석체크와 좋아요 모두 userId+creatorId+KST 날짜(yyyyMMdd) 기준 하루 1회만 인정한다. 같은 크리에이터의 여러 콘텐츠 좋아요도 같은 날 추가 보상은 지급하지 않으며 contentId는 중복 보상 판정에 포함하지 않는다. Redis 가드는 mission:earn-guard:{userId}:{missionType}:{creatorId}:{yyyymmdd} 키에 SETNX로 처리한다.,1차 확정,시작 전,No
FR-P2-007,2조,적립 이력 append-only 저장(SPEND와 동일 테이블·형식 공유),성집,적립(EARN) 중복방지,ticket_ledger type=EARN,1차 확정,시작 전,No
FR-P2-008,2조,"미션 엔진이 시스템2의 적립 서비스 메서드를 호출하고, Redis Lua로 중복검증·잔액 증가·EARN Stream 발행을 수행한다",성집,적립(EARN) 중복방지,"하나의 Spring Boot 애플리케이션 내부 TicketEarnService.earn(EarnCommand) 서비스 메서드 호출로 연동한다. EarnCommand는 requestId, userId, creatorId, missionType, missionId, periodKey, missionKey, amount를 포함하며 Business Key는 userId+creatorId+missionId+periodKey다. Lua가 중복검증·Redis Balance 증가·stream:ticket-earned 발행을 원자적으로 처리하고, Consumer가 미션 완료 기록·EARN Ledger·DB Balance를 저장한다.",1차 확정,시작 전,No
FR-P2-009,2조,응모요청 파라미터(eventId/userId/requestId/ticketCount) 수신,성집,응모요청 API,requestId는 클라이언트 생성 UUID이며 B는 형식만 사전검증한다.,1차 확정,시작 전,No
FR-P2-010,2조,ticketCount 컨트롤러 사전 검증(1 이상 100 이하 정수),성집,응모요청 API,Lua 호출 전 저비용 사전검증. 100장은 비정상적으로 큰 입력을 막기 위한 방어용 상한이며 최종 잔액 검증은 Lua가 수행한다.,1차 확정,시작 전,No
FR-P2-011,2조,Lua 반환값을 HTTP 응답으로 매핑,성집,응모요청 API,Lua 결과코드 계약은 SUCCESS·DUPLICATE_REPLAY·EVENT_NOT_OPEN·EVENT_CLOSED·INSUFFICIENT_BALANCE·INVALID_TICKET_COUNT·IDEMPOTENCY_CONFLICT·GATE_NOT_LOADED·BALANCE_NOT_LOADED·SYSTEM_ERROR 10종이다. HTTP 상태는 공통 기준에 따라 각 코드와 1:1 매핑하며 구체 값은 구현 시 확정한다.,1차 확정,시작 전,No
FR-P2-012,2조,Stream 컨슈머로 응모 이력 append-only 저장,성집,Stream 컨슈머,"컨슈머그룹 cg:ticket-history, 처리후 XACK",1차 확정,시작 전,No
FR-P2-013,2조,재전달(at-least-once) 시 DB 중복 반영 방지,성집,Stream 컨슈머,event_entry.request_id UNIQUE. UNIQUE 위반 시 기존 데이터가 동일 요청인지 확인한 경우에만 정상 중복으로 처리한다.,1차 확정,시작 전,No
FR-P2-014,2조,소비 결과로 user_ticket_balance 반영,성집,Stream 컨슈머,Redis 잔액과 별개의 DB 사본,1차 확정,시작 전,No
FR-P2-015,2조,마감 오케스트레이션 내부에서 cutoff 범위의 Stream 처리 완료 상태를 확인한다,성집,처리완료 신호,"시스템2 마감 서비스가 cutoffStreamId 범위의 정상 승인 응모 DB 반영, 미처리·미ACK·미해결 Dead 응모 부재를 확인한다. 이 확인은 이벤트별 Stream 미처리 개수(pendingCount)를 반환하는 내부 API로 구현하며, 이 API는 시스템2(B트랙) 내부 구현으로 유지된다. 단 시스템3은 이 API를 직접 호출하지 않고 awaitDrain() 내부 구현에 흡수되어 쓰인다 — 외부(시스템3)에 노출되는 API가 없다는 뜻이지, API 자체가 없는 게 아니다. (v1.5.4 §6.6 근거)",1차 확정,시작 전,No
FR-P2-016,2조,시스템2는 Drain 완료 후 CLOSED를 확정하고 Snapshot 생성 서비스를 호출한다,성집,처리완료 신호,시스템3은 Event.status == CLOSED만 신뢰하며 Redis Stream 상태를 다시 확인하지 않는다. CLOSED Commit 후 OfficialSnapshotService.createIfAbsent(eventId)를 호출한다.,1차 확정,시작 전,No
FR-P2-017,2조,실패 메시지는 PEL(Pending Entries List)에 남음,성집,실패재처리·DLQ,Redis Streams 기본 동작,1차 확정,시작 전,No
FR-P2-018,2조,서버 재기동 후에도 PEL 미처리 메시지 이어받아 처리,성집,실패재처리·DLQ,XCLAIM으로 소유권 회수,1차 확정,시작 전,No
FR-P2-019,2조,장기 미처리 메시지는 dead 스트림으로 재발행(DLQ 대체),성집,실패재처리·DLQ,Redis Streams는 DLQ 미지원 — XPENDING 기반 직접 구현,1차 확정,시작 전,No
FR-P2-020,2조,Dead Stream으로 이동한 메시지는 운영자가 백오피스에서 확인 후 수동 replay 처리한다,성집,실패재처리·DLQ,최대 재시도 후 Dead Stream으로 이동하며 원본 Stream ID와 payload를 보존한다. 운영자가 수동 replay로 재처리한다. 지속적인 Redis·DB 불일치가 확인되어 별도 보정이 필요한 경우에만 ticket_ledger에 COMPENSATE를 append-only 기록하고 Redis를 DB 기준값으로 재동기화한다.,1차 확정,시작 전,No
FR-P2-021,2조,Redis 잔액과 DB 잔액(및 이력 합계)을 주기적으로 비교,성집,정합성검증,배치 주기 5분,1차 확정,시작 전,No
FR-P2-022,2조,불일치 발견 시 알림/로그 기록,성집,정합성검증,"일시적 Stream 비동기 지연은 즉시 오류·보정하지 않는다. 일정 시간 지속되거나 반복 검출된 불일치만 이상으로 판단한다. DB Ledger를 최종 기준으로 하며, 보정 시 COMPENSATE를 append-only 기록한 뒤 Redis를 DB 기준값으로 재동기화한다.",1차 확정,시작 전,No
FR-P2-023,2조,자동 마감 대상(status=OPEN AND endAt≤now)을 조회하고 수동 마감 요청과 동일한 마감 서비스를 호출한다,성집,이벤트마감 배치,"자동·수동 마감 모두 시스템2의 동일한 마감 오케스트레이션을 사용한다. 시스템4는 권한과 요청 조건을 검증한 뒤 서비스 메서드로 전달한다. 마감 완료 여부 폴링은 관리자용 경량 상태조회 API GET /admin/events/{id}/closing-status로 확정(CLOSING/CLOSED 이분값만 반환, 진행률·미처리건수 등 세부 수치는 반환 안 함). 내부 구현은 시스템4 모듈이 시스템2 모듈의 서비스 메서드를 인프로세스로 직접 호출하는 방식이며 별도 HTTP 내부호출은 아니다. (v1.5.4 §6.2 근거)",1차 확정,시작 전,No
FR-P2-024,2조,EventCommandService를 통해 OPEN → CLOSING → CLOSED를 순차 전이한다,성집,이벤트마감 배치,"Gate 차단과 cutoffStreamId 확정 후 EventCommandService.startClosing(eventId, cutoffStreamId)를 호출한다. 시스템2가 Drain 완료 조건을 확인한 뒤 completeClosing(eventId)로 CLOSED와 closedAt을 기록한다. CLOSED Commit 후 OfficialSnapshotService.createIfAbsent(eventId)를 호출하며, Snapshot 생성 실패 시에도 CLOSED를 되돌리지 않는다.",1차 확정,시작 전,No
FR-P2-025,2조,상태 전환과 함께 cache:event 무효화,성집,이벤트마감 배치,NFR-B-02 캐시 리스크의 실질적 해소 수단,1차 확정,시작 전,No
FR-P2-026,2조,이벤트 생명주기 배치 실행 주기 결정,성집,이벤트마감 배치,EventLifecycleScheduler가 tick마다 먼저 status=SCHEDULED AND startAt≤now<endAt 이벤트를 조회해 open(eventId)를 호출하고 그다음 status=OPEN AND endAt≤now 이벤트를 탐색해 동일 마감 서비스를 호출한다. 자동 마감 주기는 10초로 확정한다. Stream Drain 완료 판단과는 별도이며 stream-lag API를 사용하지 않는다.,1차 확정,시작 전,No
FR-P2-027,2조,이벤트 마감 여부를 Lua 내부에서 검증한다,자비,응모요청 API,"""자정 등 날짜 경계 케이스도 정확히 판정. 판단 근거는 FR-25에서 확정”",1차 확정,시작 전,No
FR-P2-028,2조,잔액 충분 여부를 Lua 내부에서 검증한다,자비,응모요청 API,ticket:balance가 요청 수량 이상인지 확인. 요청 수량은 보유 응모권 수 내에서만 허용,1차 확정,시작 전,No
FR-P2-029,2조,중복 요청 여부를 idem:{requestId} 존재 확인과 request fingerprint 비교로 검증한다,자비,응모요청 API,동일 requestId와 동일 fingerprint면 저장된 이전 응답을 그대로 반환한다. 동일 requestId에 다른 payload면 IDEMPOTENCY_CONFLICT로 처리한다. requestId는 B가 형식만 사전검증하고 실제 중복 판정은 여기서 수행한다.,1차 확정,시작 전,No
FR-P2-030,2조,마감/잔액/중복 세 검증을 하나의 Lua 스크립트 안에서 순차 실행해 원자성을 보장한다,자비,응모요청 API,검증 사이에 다른 요청이 끼어들 수 없음(Redis Lua는 단일 스레드 실행),1차 확정,시작 전,No
FR-P2-031,2조,"""마감 여부 판단 근거: event.status == OPEN && now < endAt로 확정”",자비,응모요청 API,"자연마감(배치 지연 틈)은 now < endAt 비교가, 수동마감(시간과 무관)은 status == OPEN 비교가 각각 막아줌 — 두 조건 AND로 확정. 수동 마감 API는 DB event.status 갱신과 동시에 Redis event:status:{eventId}도 갱신해야 함",1차 확정,시작 전,No
FR-P2-032,2조,세 검증 통과 시 DECR로 잔액을 차감한다,자비,응모요청 API,,1차 확정,시작 전,No
FR-P2-033,2조,차감과 함께 idem:{requestId} 키에 fingerprint와 응답을 저장한다(TTL 1시간),자비,응모요청 API,재요청 시 동일 fingerprint에 한해 결과를 재현한다. TTL 만료 후 최종 안전망은 event_entry.request_id UNIQUE다.,1차 확정,시작 전,No
FR-P2-034,2조,차감 성공 시 XADD로 stream:ticket-deducted에 이벤트를 발행한다,자비,응모요청 API,"B의 Stream 컨슈머(FR-09, FR-10, FR-11)가 이 이벤트를 소비",1차 확정,시작 전,No
FR-P2-035,2조,차감+idem 저장+Stream 발행을 같은 스크립트 안에서 원자적으로 실행한다,자비,응모요청 API,차감은 됐는데 이벤트는 발행 안 되는 반쪽 상태를 원천 차단,1차 확정,시작 전,No
FR-P2-036,2조,Lua 반환값을 결과 코드 계약으로 정의하고 B와 연동한다,자비,응모요청 API,"FR-08의 10개 결과코드 계약을 사용한다. 동일 requestId·동일 payload는 DUPLICATE_REPLAY로 기존 성공 결과를 반환하고, payload가 다르면 IDEMPOTENCY_CONFLICT다.",1차 확정,시작 전,No
FR-P2-037,2조,수동 마감 권한·상태 검증 및 화면 처리,성집,운영/결과 조회,"이벤트·응모 시스템은 수동 마감 요청자의 권한과 이벤트 상태를 검증한 뒤 시스템2의 마감 서비스 메서드를 호출한다. 크리에이터는 자신이 소유한 이벤트만, 관리자는 모든 이벤트를 수동 마감할 수 있다.

Event.status가 OPEN인 경우에만 마감 처리를 시작한다. 이미 CLOSING 또는 CLOSED라면 오류를 발생시키지 않고 현재 상태를 반환한다.

화면에서는 OPEN일 때 마감 버튼을 활성화한다. CLOSING에서는 버튼을 비활성화하고 ‘마감 처리 중’, CLOSED에서는 버튼을 비활성화하고 ‘마감 완료’로 표시한다.",1차 확정,시작 전,No
FR-P2-038,2조,"Stream 소비는 at-least-once 전제, 중복소비가 잔액 이중반영 금지",성집,비기능요구사항,,1차 확정,시작 전,No
FR-P2-039,2조,cache:event TTL은 end_at을 넘지 않도록 설계,성집,비기능요구사항,TTL = 5초,1차 확정,시작 전,No
FR-P2-040,2조,컨슈머 재기동 시 PEL 미처리 메시지 유실 없이 이어받음,성집,비기능요구사항,,1차 확정,시작 전,No
FR-P2-041,2조,정합성 검증 배치는 운영 중 지속적으로 스케줄 실행,성집,비기능요구사항,정합성 검증 배치 주기 5분,1차 확정,시작 전,No
FR-P2-042,2조,시연·검증용 더미 유저·응모권 데이터 시딩 스크립트 준비,성집,비기능요구사항,"과제 전제조건 대응, A/B 공통 관심사",1차 신설,시작 전,No
FR-P2-043,2조,Lua 스크립트의 동시성 정합성을 실제 부하 테스트로 검증한다,자비,비기능요구사항,코드 리뷰로 대체 불가 - 동시 요청 시 쿠폰이 초과 차감되지 않는지 실측 필요. B 목록에 이 항목이 없어서 A가 담당,확인 필요,시작 전,No
FR-P2-044,2조,추첨 결과 공개 조건 및 중복 공개 처리,성집,운영/결과 조회,"시스템4는 관리자 권한과 결과 공개 조건을 검증한 뒤 결과 공개 서비스를 호출한다. 공개는 Event.status가 DRAW_COMPLETED이고 공식 Drawing이 COMPLETED + PRIVATE인 경우에만 허용한다.

시스템3은 공식 Drawing의 visibility를 PRIVATE에서 PUBLIC으로 변경한 뒤 EventCommandService.publish(eventId)를 호출하여 Event.status를 PUBLISHED로 전환한다.

이미 Drawing.visibility가 PUBLIC이고 Event.status가 PUBLISHED라면 중복 알림이나 추가 상태 변경 없이 기존 공개 결과를 반환한다. 화면에서는 공개 버튼을 비활성화하고 기존 공개 결과를 표시한다.",1차 확정,시작 전,No
FR-P3-001,3조,"이벤트는 OPEN, CLOSING, CLOSED 상태 전이를 지원해야 한다.",윤희,이벤트 마감,Event 상태 변경은 EventCommandService를 통해 수행,1차 확정,시작 전,No
FR-P3-002,3조,OPEN 상태이며 endAt <= now인 이벤트를 자동 마감 대상으로 조회해야 한다.,윤희,이벤트 마감,자동 마감 스케줄러,1차 확정,시작 전,No
FR-P3-003,3조,자동 마감 대상 조회는 10초 주기로 수행해야 한다.,윤희,이벤트 마감,EventLifecycleScheduler,1차 확정,시작 전,No
FR-P3-004,3조,크리에이터 또는 관리자의 수동 마감 요청을 처리할 수 있어야 한다.,윤희,이벤트 마감,권한 검증은 호출 측 운영 영역에서 수행,1차 확정,시작 전,No
FR-P3-005,3조,수동 마감 요청 시 Gate 차단 이후 202 Accepted를 반환하고 Drain은 비동기로 처리해야 한다.,윤희,이벤트 마감,장시간 HTTP 요청 방지,1차 확정,시작 전,No
FR-P3-006,3조,이벤트 마감 시작 시 신규 응모를 차단해야 한다.,윤희,이벤트 마감,Redis Entry Gate 차단,1차 확정,시작 전,No
FR-P3-007,3조,Gate 차단 이후 신규 응모가 승인되어서는 안 된다.,윤희,이벤트 마감,동시성 검증 대상,1차 확정,시작 전,No
FR-P3-008,3조,이벤트 마감 시 Redis Stream에 Close Barrier를 생성하고 마감 기준 cutoffStreamId를 확정해야 한다.,윤희,이벤트 마감,Barrier Stream ID를 cutoff로 사용,1차 확정,시작 전,No
FR-P3-009,3조,동일 이벤트의 마감 재시도 시 최초 확정한 cutoff를 재사용해야 한다.,윤희,이벤트 마감,새로운 cutoff 생성 금지,1차 확정,시작 전,No
FR-P3-010,3조,Gate 차단 및 cutoff 확정 후 Event를 OPEN → CLOSING으로 전이해야 한다.,윤희,이벤트 마감,cutoffStreamId DB 저장,1차 확정,시작 전,No
FR-P3-011,3조,응모와 마감이 동시에 발생할 경우 Gate 차단 이전 정상 승인 응모만 추첨 대상에 포함해야 한다.,윤희,이벤트 마감,마감 동시성 핵심,1차 확정,시작 전,No
FR-P3-012,3조,자동·수동 마감이 동시에 실행되어도 OPEN → CLOSING 상태 전이는 한 번만 발생해야 한다.,윤희,이벤트 마감,중복 마감 방지,1차 확정,시작 전,No
FR-P3-013,3조,cutoff 범위의 정상 승인 응모가 모두 DB에 반영될 때까지 Drain해야 한다.,윤희,이벤트 마감,Entry/Ledger DB 반영 확인,1차 확정,시작 전,No
FR-P3-014,3조,cutoff 범위에 미처리·미ACK 응모가 존재하지 않아야 CLOSED로 전환할 수 있다.,윤희,이벤트 마감,Drain 완료 조건,1차 확정,시작 전,No
FR-P3-015,3조,cutoff 범위에 미해결 Dead Stream 응모가 존재하지 않아야 CLOSED로 전환할 수 있다.,윤희,이벤트 마감,장애 메시지 확인,1차 확정,시작 전,No
FR-P3-016,3조,Drain 조건을 모두 만족한 경우에만 CLOSING → CLOSED로 전환하고 closedAt을 기록해야 한다.,윤희,이벤트 마감,CLOSED = 응모 데이터 확정 완료,1차 확정,시작 전,No
FR-P3-017,3조,Drain 실패 또는 타임아웃 시 강제로 CLOSED로 전환하지 않고 CLOSING 상태를 유지해야 한다.,윤희,이벤트 마감,재시도/운영 알림 대상,1차 확정,시작 전,No
FR-P3-018,3조,CLOSING 상태에서 서버가 재기동되어도 기존 cutoff를 이용해 Drain을 재개할 수 있어야 한다.,윤희,이벤트 마감,장애 복구,1차 확정,시작 전,No
FR-P3-019,3조,관리자는 이벤트의 마감 상태를 CLOSING/CLOSED로 조회할 수 있어야 한다.,윤희,이벤트 마감,"closing-status API, 진행률·pendingCount 외부 노출 X",1차 확정,시작 전,No
FR-P3-020,3조,Snapshot은 Event가 CLOSED인 경우에만 생성해야 한다.,윤희,이벤트 마감,OPEN/CLOSING 생성 금지,1차 확정,시작 전,No
FR-P3-021,3조,CLOSED 확정 후 공식 Snapshot 생성을 트리거해야 한다.,윤희,이벤트 마감,CLOSED Commit과 Snapshot 생성 TX 분리,1차 확정,시작 전,No
FR-P3-022,3조,동일 사용자의 여러 응모는 사용한 응모권 수를 합산하여 하나의 Candidate로 생성해야 한다.,윤희,이벤트 마감,userId + ticketCount,1차 확정,시작 전,No
FR-P3-023,3조,ticketCount <= 0인 후보는 Snapshot 대상에서 제외해야 한다.,윤희,이벤트 마감,후보 유효성,1차 확정,시작 전,No
FR-P3-024,3조,Snapshot Candidate는 항상 동일한 기준으로 정렬해야 한다.,윤희,이벤트 마감,기본 userId ASC,1차 확정,시작 전,No
FR-P3-025,3조,Event 하나에는 공식 Snapshot이 하나만 존재해야 한다.,윤희,이벤트 마감,UNIQUE(event_id),1차 확정,시작 전,No
FR-P3-026,3조,동일 Snapshot 생성 요청이 반복·동시 실행되어도 공식 Snapshot은 하나만 생성되어야 한다.,윤희,이벤트 마감,멱등성 + UNIQUE,1차 확정,시작 전,No
FR-P3-027,3조,생성 완료된 공식 Snapshot과 Candidate는 수정되지 않아야 한다.,윤희,이벤트 마감,Immutable Snapshot,1차 확정,시작 전,No
FR-P3-028,3조,최초 추첨과 모든 재추첨은 동일한 공식 Snapshot을 사용해야 한다.,윤희,이벤트 마감,재추첨 Snapshot 재생성 금지,1차 확정,시작 전,No
FR-P3-029,3조,Snapshot 생성 시 후보 및 추첨 조건을 정규화하여 Snapshot Hash를 생성·저장해야 한다.,윤희,이벤트 마감,SHA-256 등,1차 확정,시작 전,No
FR-P3-030,3조,"Snapshot Hash에는 eventId, userId, ticketCount, winnerCount, drawMethod, algorithmVersion이 포함되어야 한다.",윤희,이벤트 마감,Canonicalization 필요,1차 확정,시작 전,No
FR-P3-031,3조,추첨 직전 Snapshot Hash를 동일한 정규화 방식으로 재계산하여 저장된 Hash와 비교해야 한다.,성원,이벤트 마감,"윤희가 생성, 성원이 추첨 직전 검증",1차 확정,시작 전,No
FR-P3-032,3조,Snapshot Hash가 일치하지 않으면 공식 추첨을 실행해서는 안 된다.,성원,이벤트 마감,무결성 검증 실패,1차 확정,시작 전,No
FR-P3-033,3조,Snapshot Hash 검증 결과와 검증 시각을 기록해야 한다.,성원,이벤트 마감,감사 가능성,1차 확정,시작 전,No
FR-P3-034,3조,CLOSED 상태인데 Snapshot이 없는 이벤트를 탐색하여 Snapshot 생성을 복구해야 한다.,윤희,이벤트 마감,누락 복구 스케줄러,1차 확정,시작 전,No
FR-P3-035,3조,각 Drawing은 추첨 결과를 결정적으로 재현할 수 있는 Seed를 가져야 한다.,성원,이벤트 마감,Drawing별 Seed,1차 확정,시작 전,No
